"system/cpu/cpuidle/current_governor_ro","qcom"
"system/cpu/vulnerabilities/srbds","Not affected"
"system/cpu/vulnerabilities/meltdown","Not affected"
"system/cpu/cpufreq/policy4/scaling_min_freq","2419200"
"system/cpu/cpufreq/policy4/scaling_available_governors","conservative powersave performance schedutil "
"system/cpu/cpufreq/policy4/scaling_boost_frequencies",""
"system/cpu/cpufreq/policy4/cpuinfo_max_freq","2419200"
"system/cpu/cpufreq/policy4/schedutil/down_rate_limit_us","0"
"system/cpu/cpufreq/policy4/schedutil/pl","1"
"system/cpu/cpufreq/policy4/schedutil/rtg_boost_freq","0"
"system/cpu/cpufreq/policy4/schedutil/up_rate_limit_us","0"
"system/cpu/cpufreq/policy4/schedutil/target_loads","80 1996800:95"
"system/cpu/cpufreq/policy4/schedutil/hispeed_load","90"
"system/cpu/cpufreq/policy4/schedutil/hispeed_freq","1555200"
"system/cpu/cpufreq/policy4/scaling_available_frequencies","710400 844800 960000 1075200 1209600 1324800 1440000 1555200 1670400 1766400 1881600 1996800 2112000 2227200 2342400 2419200 "
"system/cpu/cpufreq/policy4/related_cpus","4 5 6"
"system/cpu/cpufreq/policy4/scaling_cur_freq","2419200"
"system/cpu/cpufreq/policy4/scaling_setspeed","<unsupported>"
"system/cpu/cpufreq/policy4/freq_change_info","policy->org_max=0,policy->change_comm="
